SITE_ID,DAILY_JAMS,DTH,JAM_COSTS,MAINTENANCE_HOURS
ATL1,7,2.03,4658,28
ATL5,46,26.39,3144,30
ATL7,175,9.77,4707,37
ATL8,193,15.63,6672,27
ATL9,91,14.46,9731,34
BOS1,132,20.69,2826,39
BOS2,156,20.53,1064,46
BOS3,12,18.42,670,8
BOS4,78,4.73,5994,34
BOS5,106,15.02,3013,46
BOS6,20,9.56,4281,51
BOS7,162,22.89,4463,6
BOS8,175,17,4410,49
CDG1,73,24.65,5459,58
CDG2,172,27.52,6670,8
CDG3,162,6.38,887,24
CDG4,145,23.49,7279,50
CDG5,21,20.15,1953,43
CDG6,130,10.86,4029,35
CDG7,196,3.14,4301,21
CDG8,64,12.98,8123,22
CDG9,44,28.81,6094,19
DEN1,198,17.36,1230,2
DEN2,122,20.98,4935,36
DEN3,147,4.85,4253,2
DEN4,199,12.49,3742,13
DEN5,56,11.01,6203,19
DEN6,57,20.53,6863,17
DEN7,119,12.85,4453,24
DEN8,140,27.17,2463,36
DEN9,20,4.31,3275,5
DFW1,163,19.53,3086,17
DFW2,138,29.74,3967,6
DFW5,117,26.28,9888,52
DFW6,60,12.94,5984,27
DFW7,106,10.3,4089,30
DFW8,93,6.52,8812,26
FRA1,54,16.89,9474,7
FRA2,20,23.12,7857,31
FRA4,178,5.66,571,12
FRA5,24,18.55,7720,38
FRA7,4,19.75,9312,26
FRA8,83,7.18,5960,31
HND2,61,12.59,9380,25
HND3,78,27.32,938,56
HND4,68,28.92,2514,3
HND5,168,28.13,6397,17
HND7,199,22,5674,24
HND8,109,29.6,8687,49
JFK1,111,28.01,7960,9
JFK2,152,1.31,1024,40
JFK3,3,9.51,7356,2
JFK5,36,16.73,4584,6
JFK6,101,17.81,6018,6
JFK8,76,1.88,9914,39
JFK9,153,6.77,8411,30
LAX1,46,8.89,6386,43
LAX2,31,20.68,910,55
LAX4,51,6.17,3536,44
LAX5,11,27.21,4184,58
LAX7,72,17.87,4789,16
LAX8,175,24.74,3839,51
LAX9,175,7.96,3256,25
LHR1,16,4.49,9461,40
LHR2,23,11.31,2901,38
LHR3,80,22.4,9765,19
LHR5,68,3.2,8052,36
LHR6,68,23.42,3222,15
LHR7,127,11.55,4933,6
LHR8,191,20.64,4527,39
LHR9,140,11.94,958,35
MAD2,168,12.04,5000,29
MAD4,24,9.9,1265,10
MAD5,14,17.94,9490,7
MAD6,57,15.64,3682,45
MAD8,141,10.31,8561,19
MIA1,112,27.73,8109,21
MIA2,167,15.51,7127,18
MIA3,121,12.98,610,59
MIA5,57,4.46,2941,51
MIA6,110,10.51,1702,22
MIA7,8,12.22,6727,58
MIA8,60,29.94,4220,18
MIA9,155,29.48,8538,29
ORD1,42,15,7981,42
ORD2,95,6.09,3189,44
ORD4,117,26.2,1497,47
ORD5,183,8.64,9853,49
ORD7,148,16.97,799,47
ORD8,110,19,9020,11
ORD9,116,7.52,7774,29
SEA1,165,24.29,3602,42
SEA2,30,11.64,3314,58
SEA3,194,1.09,1114,55
SEA4,193,10.05,9532,52
SEA6,46,29.76,622,17
SEA7,83,12.15,9077,44
SEA9,151,10.28,4013,8
SFO4,128,6.02,2603,40
SFO6,6,8.88,5371,2
SFO7,60,19.57,6542,41
SFO8,109,10.08,6855,52
