User_ID,Title_ID,Watch_Date,Watch_Time_Minutes,Device,Country,Rating
U0947,T0096,2023-12-07,8.22,Laptop,India,4.1
U0111,T0171,2024-01-27,21.79,TV,Japan,4.3
U0472,T0079,2023-12-25,98.24,Tablet,India,3.6
U0409,T0128,2023-12-03,48.19,Tablet,Canada,
U0286,T0058,2023-12-26,3.73,Laptop,Brazil,
U0119,T0062,2023-09-25,6.55,Mobile,Germany,3.4
U0354,T0200,2023-11-18,19.29,Laptop,Canada,3.3
U0261,T0106,2023-02-15,4.12,Laptop,USA,4.2
U0704,T0140,2023-07-21,40.91,Tablet,Australia,3.7
U0339,T0030,2023-11-18,41.88,TV,Germany,3.7
U0335,T0040,2024-02-17,11.72,Tablet,UK,3.7
U0389,T0141,2023-06-28,38.66,Tablet,Australia,1.0
U0294,T0037,2023-08-04,9.77,Laptop,Brazil,2.8
U0219,T0166,2024-06-07,102.66,Laptop,UK,2.1
U0680,T0096,2023-12-10,2.26,TV,India,1.9
U0204,T0036,2023-05-31,10.56,TV,USA,2.9
U0871,T0180,2023-03-16,47.18,Laptop,Australia,
U0590,T0058,2023-07-19,37.66,Laptop,Japan,1.6
U0705,T0080,2023-01-06,22.48,TV,Australia,4.2
U0713,T0024,2024-06-14,13.04,Laptop,USA,4.7
U0125,T0066,2024-04-12,26.18,Mobile,Japan,5.0
U0610,T0031,2023-11-21,11.04,Laptop,Australia,
U0562,T0136,2024-04-01,60.89,Mobile,Japan,4.0
U0861,T0067,2023-10-11,7.87,Laptop,India,1.3
U0293,T0198,2023-08-29,4.95,Tablet,Brazil,3.2
U0142,T0092,2023-06-04,52.56,Mobile,Australia,3.8
U0066,T0169,2024-02-29,20.61,Laptop,Brazil,2.7
U0212,T0097,2024-03-06,14.25,Laptop,USA,
U0784,T0055,2024-01-25,23.61,Laptop,USA,
U0306,T0119,2024-02-04,14.59,Laptop,India,2.1
U0498,T0174,2023-01-30,68.07,Laptop,Brazil,4.2
U0742,T0170,2023-06-19,19.46,Laptop,UK,
U0547,T0111,2023-01-28,6.33,Laptop,USA,2.7
U0888,T0039,2024-04-17,20.14,Mobile,USA,2.3
U0466,T0029,2023-12-01,1.12,Tablet,Australia,4.8
U0432,T0021,2023-09-16,17.64,TV,Japan,3.2
U0975,T0144,2023-12-25,33.08,Mobile,Canada,
U0668,T0169,2023-02-11,78.83,TV,India,1.1
U0157,T0017,2023-09-02,29.48,Mobile,Japan,3.3
U0224,T0084,2024-04-21,34.08,Tablet,Brazil,3.4
U0766,T0063,2023-04-28,10.25,Mobile,Germany,1.1
U0320,T0055,2024-01-20,44.51,Laptop,India,3.8
U0643,T0196,2023-09-06,5.0,TV,Germany,
U0615,T0146,2023-05-04,11.18,TV,Brazil,3.6
U0071,T0002,2024-06-02,4.71,Tablet,USA,
U0843,T0194,2024-05-16,67.54,TV,Australia,
U0651,T0067,2024-04-15,62.32,Mobile,Australia,3.1
U0667,T0121,2023-10-04,57.02,Laptop,Japan,3.9
U0275,T0183,2023-11-27,4.21,Mobile,Canada,2.8
U0769,T0080,2024-04-20,69.85,Laptop,Brazil,4.4
U0187,T0035,2024-05-14,18.21,Mobile,Brazil,
U0349,T0193,2023-10-14,0.39,Tablet,USA,1.8
U0248,T0076,2024-02-21,66.13,Laptop,India,3.6
U0503,T0063,2024-04-03,21.03,TV,Canada,2.6
U0250,T0081,2023-11-10,3.62,Tablet,Japan,2.4
U0764,T0108,2023-12-05,25.37,Tablet,Japan,2.0
U0124,T0037,2023-07-17,21.19,Tablet,Canada,
U0974,T0175,2023-07-09,7.97,Mobile,India,
U0284,T0023,2024-06-21,31.64,Tablet,Canada,
U0304,T0079,2023-08-21,17.4,Tablet,UK,3.8
U0130,T0042,2023-10-08,32.26,TV,USA,3.8
U0130,T0192,2024-05-17,56.4,TV,USA,2.9
U0452,T0055,2023-12-15,9.29,Mobile,USA,4.4
U0117,T0033,2023-03-08,36.2,Laptop,Japan,3.5
U0055,T0071,2023-06-05,31.6,,Germany,2.0
U0572,T0012,2024-03-02,3.15,Mobile,Australia,2.8
U0881,T0036,2024-03-15,9.67,Tablet,USA,4.0
U0971,T0028,2023-08-01,3.01,Mobile,Germany,1.6
U0178,T0122,2023-03-18,119.83,Mobile,USA,3.8
U0482,T0086,2023-10-26,7.72,TV,India,2.1
U0881,T0080,2024-04-09,44.5,TV,India,
U0807,T0111,2023-07-22,45.0,Laptop,Canada,3.6
U0931,T0192,2023-09-30,12.27,Mobile,Canada,4.2
U0610,T0090,2023-10-23,39.46,Laptop,Canada,2.2
U0413,T0027,2023-10-06,22.29,Laptop,Japan,1.2
U0443,T0197,2023-11-27,76.79,Tablet,USA,4.8
U0857,T0128,2023-01-22,79.02,Tablet,USA,
U0180,T0175,2024-04-26,15.32,Laptop,Germany,3.3
U0651,T0180,2024-05-18,118.65,TV,Japan,2.3
U0687,T0051,2023-04-18,13.06,Mobile,Brazil,3.0
U0679,T0020,2024-02-15,13.59,TV,Japan,2.0
U0119,T0107,2024-02-18,17.2,TV,Japan,1.8
U0371,T0016,2024-05-25,13.39,Laptop,USA,3.2
U0950,T0057,2023-10-22,3.59,Laptop,Japan,4.9
U0624,T0186,2023-09-03,21.44,Mobile,Germany,3.2
U0096,T0028,2023-08-19,97.12,TV,Japan,
U0664,T0046,2023-06-07,16.66,Laptop,Germany,2.1
U0855,T0148,2024-05-09,3.78,Laptop,India,1.6
U0196,T0035,2024-06-04,9.47,Mobile,Canada,4.2
U0425,T0105,2023-12-15,36.99,Tablet,USA,2.2
U0602,T0156,2024-05-16,22.37,Mobile,Japan,2.4
U0566,T0113,2024-01-22,17.2,Laptop,Brazil,
U0715,T0162,2023-09-02,17.72,Laptop,India,
U0421,T0160,2023-02-14,141.83,Tablet,Japan,
U0831,T0018,2024-01-26,69.09,Laptop,UK,1.1
U0515,T0166,2023-12-06,11.24,TV,Japan,4.6
U0016,T0068,2023-05-28,37.68,Laptop,UK,4.1
U0272,T0075,2023-12-13,105.13,Laptop,Canada,
U0873,T0060,2024-06-30,5.79,Laptop,Brazil,4.5
U0500,T0063,2023-02-06,3.73,TV,India,4.7
U0233,T0104,2023-04-03,5.73,Laptop,Canada,
U0721,T0068,2023-04-13,53.05,Laptop,UK,4.6
U0048,T0027,2023-11-29,17.98,TV,Germany,2.7
U0251,T0164,2024-06-27,23.6,Laptop,UK,1.3
U0892,T0130,2024-01-27,21.62,Mobile,Japan,
U0147,T0082,2023-08-26,45.53,Laptop,Germany,3.7
U0921,T0194,2024-04-21,18.52,Tablet,UK,4.8
U0602,T0076,2023-11-03,6.1,Laptop,Germany,2.2
U0394,T0040,2024-05-09,42.54,TV,India,2.4
U0303,T0041,2023-10-30,10.7,TV,Australia,3.3
U0703,T0198,2023-02-20,100.42,Laptop,Germany,
U0236,T0185,2023-12-27,19.44,Mobile,India,3.7
U0739,T0034,2023-05-21,5.98,TV,USA,2.8
U0594,T0008,2024-01-09,27.39,Mobile,Canada,
U0335,T0061,2024-03-01,67.86,Mobile,India,3.2
U0995,T0093,2024-01-10,35.34,Tablet,UK,4.3
U0494,T0069,2023-10-30,21.38,Tablet,Canada,1.3
U0773,T0067,2023-08-20,47.83,Laptop,Brazil,2.6
U0271,T0009,2024-07-03,29.61,TV,Japan,4.0
U0269,T0157,2024-01-26,84.19,Tablet,Canada,2.9
U0635,T0045,2023-12-02,47.69,Mobile,Canada,2.9
U0718,T0198,2023-11-06,55.09,Laptop,Canada,4.8
U0312,T0022,2024-05-19,2.35,TV,Canada,3.2
U0398,T0044,2024-04-09,0.24,Tablet,Australia,3.9
U0907,T0148,2024-02-29,10.9,TV,Japan,4.8
U0287,T0181,2023-02-03,17.38,Tablet,India,4.8
U0876,T0081,2024-01-07,22.76,TV,Brazil,4.9
U0368,T0069,2023-03-04,4.63,Laptop,Germany,1.5
U0869,T0127,2024-04-10,41.36,TV,India,3.4
U0022,T0066,2023-02-21,2.13,Tablet,India,
U0806,T0178,2023-07-30,5.29,TV,India,4.3
U0239,T0193,2023-12-03,78.49,Mobile,USA,4.9
U0134,T0064,2023-09-14,70.09,Mobile,Canada,1.1
U0016,T0064,2024-01-02,166.8,Mobile,Brazil,2.1
U0130,T0131,2024-03-07,114.59,TV,Canada,4.1
U0526,T0147,2023-04-22,16.92,Laptop,India,
U0045,T0046,2024-06-17,25.69,Tablet,Japan,1.1
U0491,T0091,2024-02-16,87.82,Laptop,Canada,4.6
U0076,T0028,2023-03-24,94.42,Tablet,UK,2.1
U0649,T0166,2023-11-29,9.93,Laptop,Germany,3.4
U0102,T0198,2023-04-28,13.24,Mobile,Australia,1.9
U0348,T0077,2024-04-09,23.54,Laptop,Australia,
U0321,T0141,2024-03-13,5.9,Tablet,Germany,1.6
U0946,T0020,2024-04-30,11.21,TV,Canada,
U0096,T0011,2024-03-18,5.81,TV,Brazil,
U0570,T0161,2023-03-03,13.27,Tablet,Canada,4.5
U0964,T0127,2024-03-09,14.46,TV,Germany,2.4
U0592,T0105,2024-06-03,48.23,Mobile,UK,1.9
U0111,T0165,2023-12-25,61.17,Tablet,Canada,
U0588,T0100,2023-08-20,28.19,Laptop,USA,3.6
U0711,T0186,2023-10-01,9.29,TV,UK,4.0
U0944,T0119,2023-12-14,43.4,Tablet,USA,1.6
U0674,T0166,2024-02-15,48.44,TV,UK,
U0996,T0144,2023-02-01,13.87,TV,India,2.8
U0162,T0059,2024-01-14,29.67,Tablet,Brazil,
U0582,T0060,2023-03-28,2.53,TV,UK,3.5
U0691,T0048,2023-03-25,21.1,Tablet,Japan,2.9
U0453,T0135,2024-02-29,18.0,Tablet,India,
U0117,T0052,2023-12-20,7.49,Laptop,Canada,3.7
U0499,T0095,2024-06-23,23.71,Tablet,  ,4.9
U0057,T0030,2023-01-08,154.32,Mobile,Germany,
U0786,T0100,2023-05-21,4.76,Tablet,Germany,1.0
U0765,T0176,2024-03-16,19.43,Mobile,UK,3.8
U0513,T0085,2023-12-29,19.22,TV,Australia,
U0044,T0034,2024-03-22,44.04,TV,Japan,
