WEATHER_IMPACT,WEATHER_DISRUPTION_ID,DISRUPTION_DATE,WEATHER_TYPE,DOWNTIME_HOURS
Yes,Asia-Pacific,3/1/25 0:00,Hurricane,48
Yes,North America,3/25/25 0:00,Tornado,18
Yes,Asia-Pacific,3/30/25 0:00,Heavy Rain,10
Yes,North America,3/10/25 0:00,Snowstorm,12
Yes,Europe,3/5/25 0:00,Flood,24
Yes,Asia-Pacific,4/10/25 0:00,Typhoon,40
Yes,Asia-Pacific,3/15/25 0:00,Tropical Storm,8
Yes,Europe,4/1/25 0:00,Hurricane,72
Yes,Europe,3/20/25 0:00,Extreme Heat,16
Yes,North America,4/5/25 0:00,Severe Thunderstorm,6
